Name,Description,Details,Volumetric flow rate 0,Volumetric flow rate 1,Volumetric flow rate 2,Volumetric flow rate 3,Volumetric flow rate 4,Volumetric flow rate sum,Volumetric flow rate avg,Inlet Dry bulb temp 0,Inlet Dry bulb temp 1,Inlet Dry bulb temp 2,Inlet Dry bulb temp 3,Inlet Dry bulb temp 4,Inlet Dry bulb temp sum,Inlet Dry bulb temp avg,Inlet Air pressure 0,Inlet Air pressure 1,Inlet Air pressure 2,Inlet Air pressure 3,Inlet Air pressure 4,Inlet Air pressure sum,Inlet Air pressure avg,Inlet Air Relative Humidity 0,Inlet Air Relative Humidity 1,Inlet Air Relative Humidity 2,Inlet Air Relative Humidity 3,Inlet Air Relative Humidity 4,Inlet Air Relative Humidity sum,Inlet Air Relative Humidity avg,Tubes per bank 0,Tubes per bank 1,Tubes per bank 2,Tubes per bank 3,Tubes per bank 4,Tubes per bank sum,Tubes per bank avg,Number of banks 0,Number of banks 1,Number of banks 2,Number of banks 3,Number of banks 4,Number of banks sum,Number of banks avg,Number circuits 0,Number circuits 1,Number circuits 2,Number circuits 3,Number circuits 4,Number circuits sum,Number circuits avg,Length of tube 0,Length of tube 1,Length of tube 2,Length of tube 3,Length of tube 4,Length of tube sum,Length of tube avg,Tube OD 0,Tube OD 1,Tube OD 2,Tube OD 3,Tube OD 4,Tube OD sum,Tube OD avg,Tube ID 0,Tube ID 1,Tube ID 2,Tube ID 3,Tube ID 4,Tube ID sum,Tube ID avg,Tube Long. Pitch 0,Tube Long. Pitch 1,Tube Long. Pitch 2,Tube Long. Pitch 3,Tube Long. Pitch 4,Tube Long. Pitch sum,Tube Long. Pitch avg,Tube Transverse Pitch 0,Tube Transverse Pitch 1,Tube Transverse Pitch 2,Tube Transverse Pitch 3,Tube Transverse Pitch 4,Tube Transverse Pitch sum,Tube Transverse Pitch avg,Outlet superheat 0,Outlet superheat 1,Outlet superheat 2,Outlet superheat 3,Outlet superheat 4,Outlet superheat sum,Outlet superheat avg,Fins per inch 0,Fins per inch 1,Fins per inch 2,Fins per inch 3,Fins per inch 4,Fins per inch sum,Fins per inch avg,Fin waviness pd 0,Fin waviness pd 1,Fin waviness pd 2,Fin waviness pd 3,Fin waviness pd 4,Fin waviness pd sum,Fin waviness pd avg,Fin waviness xf 0,Fin waviness xf 1,Fin waviness xf 2,Fin waviness xf 3,Fin waviness xf 4,Fin waviness xf sum,Fin waviness xf avg,Fin thickness 0,Fin thickness 1,Fin thickness 2,Fin thickness 3,Fin thickness 4,Fin thickness sum,Fin thickness avg,Fin Conductivity 0,Fin Conductivity 1,Fin Conductivity 2,Fin Conductivity 3,Fin Conductivity 4,Fin Conductivity sum,Fin Conductivity avg,Refrigerant flowrate 0,Refrigerant flowrate 1,Refrigerant flowrate 2,Refrigerant flowrate 3,Refrigerant flowrate 4,Refrigerant flowrate sum,Refrigerant flowrate avg,Q Total 0,Q Total 1,Q Total 2,Q Total 3,Q Total 4,Q Total sum,Q Total avg,Q Superheat 0,Q Superheat 1,Q Superheat 2,Q Superheat 3,Q Superheat 4,Q Superheat sum,Q Superheat avg,Q Two-Phase 0,Q Two-Phase 1,Q Two-Phase 2,Q Two-Phase 3,Q Two-Phase 4,Q Two-Phase sum,Q Two-Phase avg,Inlet ref. temp 0,Inlet ref. temp 1,Inlet ref. temp 2,Inlet ref. temp 3,Inlet ref. temp 4,Inlet ref. temp sum,Inlet ref. temp avg,Outlet ref. temp 0,Outlet ref. temp 1,Outlet ref. temp 2,Outlet ref. temp 3,Outlet ref. temp 4,Outlet ref. temp sum,Outlet ref. temp avg,Outlet air temp 0,Outlet air temp 1,Outlet air temp 2,Outlet air temp 3,Outlet air temp 4,Outlet air temp sum,Outlet air temp avg,Pressure Drop Total 0,Pressure Drop Total 1,Pressure Drop Total 2,Pressure Drop Total 3,Pressure Drop Total 4,Pressure Drop Total sum,Pressure Drop Total avg,Pressure Drop Superheat 0,Pressure Drop Superheat 1,Pressure Drop Superheat 2,Pressure Drop Superheat 3,Pressure Drop Superheat 4,Pressure Drop Superheat sum,Pressure Drop Superheat avg,Pressure Drop Two-Phase 0,Pressure Drop Two-Phase 1,Pressure Drop Two-Phase 2,Pressure Drop Two-Phase 3,Pressure Drop Two-Phase 4,Pressure Drop Two-Phase sum,Pressure Drop Two-Phase avg,Charge Total 0,Charge Total 1,Charge Total 2,Charge Total 3,Charge Total 4,Charge Total sum,Charge Total avg,Charge Superheat 0,Charge Superheat 1,Charge Superheat 2,Charge Superheat 3,Charge Superheat 4,Charge Superheat sum,Charge Superheat avg,Charge Two-Phase 0,Charge Two-Phase 1,Charge Two-Phase 2,Charge Two-Phase 3,Charge Two-Phase 4,Charge Two-Phase sum,Charge Two-Phase avg,Mean HTC Superheat 0,Mean HTC Superheat 1,Mean HTC Superheat 2,Mean HTC Superheat 3,Mean HTC Superheat 4,Mean HTC Superheat sum,Mean HTC Superheat avg,Mean HTC Two-phase 0,Mean HTC Two-phase 1,Mean HTC Two-phase 2,Mean HTC Two-phase 3,Mean HTC Two-phase 4,Mean HTC Two-phase sum,Mean HTC Two-phase avg,Wetted Area Fraction Superheat 0,Wetted Area Fraction Superheat 1,Wetted Area Fraction Superheat 2,Wetted Area Fraction Superheat 3,Wetted Area Fraction Superheat 4,Wetted Area Fraction Superheat sum,Wetted Area Fraction Superheat avg,Wetted Area Fraction Two-phase 0,Wetted Area Fraction Two-phase 1,Wetted Area Fraction Two-phase 2,Wetted Area Fraction Two-phase 3,Wetted Area Fraction Two-phase 4,Wetted Area Fraction Two-phase sum,Wetted Area Fraction Two-phase avg,Mean Air HTC 0,Mean Air HTC 1,Mean Air HTC 2,Mean Air HTC 3,Mean Air HTC 4,Mean Air HTC sum,Mean Air HTC avg,Surface Effectiveness 0,Surface Effectiveness 1,Surface Effectiveness 2,Surface Effectiveness 3,Surface Effectiveness 4,Surface Effectiveness sum,Surface Effectiveness avg,Air-side area (fin+tubes) 0,Air-side area (fin+tubes) 1,Air-side area (fin+tubes) 2,Air-side area (fin+tubes) 3,Air-side area (fin+tubes) 4,Air-side area (fin+tubes) sum,Air-side area (fin+tubes) avg,Mass Flow rate dry Air 0,Mass Flow rate dry Air 1,Mass Flow rate dry Air 2,Mass Flow rate dry Air 3,Mass Flow rate dry Air 4,Mass Flow rate dry Air sum,Mass Flow rate dry Air avg,Mass Flow rate humid Air 0,Mass Flow rate humid Air 1,Mass Flow rate humid Air 2,Mass Flow rate humid Air 3,Mass Flow rate humid Air 4,Mass Flow rate humid Air sum,Mass Flow rate humid Air avg,Pressure Drop Air-side 0,Pressure Drop Air-side 1,Pressure Drop Air-side 2,Pressure Drop Air-side 3,Pressure Drop Air-side 4,Pressure Drop Air-side sum,Pressure Drop Air-side avg,Sensible Heat Ratio 0,Sensible Heat Ratio 1,Sensible Heat Ratio 2,Sensible Heat Ratio 3,Sensible Heat Ratio 4,Sensible Heat Ratio sum,Sensible Heat Ratio avg
N/A,N/A,N/A,m^3/s,m^3/s,m^3/s,m^3/s,m^3/s,m^3/s,m^3/s,K,K,K,K,K,K,K,Pa,Pa,Pa,Pa,Pa,Pa,Pa,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,K,K,K,K,K,K,K,1/in,1/in,1/in,1/in,1/in,1/in,1/in,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,W/m-K,W/m-K,W/m-K,W/m-K,W/m-K,W/m-K,W/m-K,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,W/m^2-K,W/m^2-K,W/m^2-K,W/m^2-K,W/m^2-K,W/m^2-K,W/m^2-K,W/m^2-K,W/m^2-K,W/m^2-K,W/m^2-K,W/m^2-K,W/m^2-K,W/m^2-K,-,-,-,-,-,-,-,-,-,-,-,-,-,-,W/m^2-K,W/m^2-K,W/m^2-K,W/m^2-K,W/m^2-K,W/m^2-K,W/m^2-K,-,-,-,-,-,-,-,m^2,m^2,m^2,m^2,m^2,m^2,m^2,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s,Pa,Pa,Pa,Pa,Pa,Pa,Pa,-,-,-,-,-,-,-
MCE-0014,shows application of MCE,This is the sample multi circuited evaporator,0.11326,0.11326,0.11326,0.11326,0.11326,0.5663,0.11326,299.8,299.8,299.8,299.8,299.8,1499.0,299.8,101325,101325,101325,101325,101325,506625,101325.0,0.51,0.51,0.51,0.51,0.51,2.55,0.51,6,6,6,7,7,32,6.4,3,3,3,3,3,15,3.0,1,1,1,1,1,5,1.0,0.452,0.452,0.452,0.452,0.452,2.26,0.452,0.009525,0.009525,0.009525,0.009525,0.009525,0.047625,0.009525,0.0089154,0.0089154,0.0089154,0.0089154,0.0089154,0.044577,0.0089154,0.0254,0.0254,0.0254,0.0254,0.0254,0.127,0.0254,0.0219964,0.0219964,0.0219964,0.0219964,0.0219964,0.109982,0.0219964,17.3589089887,17.3589089887,-1.02548647627,-1.19248850037,8.50524370823,41.0050867089,8.20101734178,14.5,14.5,14.5,14.5,14.5,72.5,14.5,0.001,0.001,0.001,0.001,0.001,0.005,0.001,0.001,0.001,0.001,0.001,0.001,0.005,0.001,0.00011,0.00011,0.00011,0.00011,0.00011,0.00055,0.00011,237,237,237,237,237,1185,237.0,0.00708,0.00708,0.02124,0.02124,0.01416,0.0708,0.01416,1182.32465397,1182.32465397,2949.71523659,3097.81627029,2668.98602365,11081.1668385,2216.23336769,145.069330909,145.069330909,0.0,0.0,142.157553194,432.296215013,86.4592430025,1037.25532306,1037.25532306,2949.71523659,3097.81627029,2526.82847046,10648.8706234,2129.77412469,281.924851308,281.924851308,281.90300449,281.90300449,281.908466194,1409.56417779,281.912835558,299.358908989,299.358908989,280.974513524,280.8075115,290.505243708,1451.00508671,290.201017342,292.956133758,292.956133758,284.832237022,284.300659895,285.813626092,1440.85879052,288.171758105,-3720.66670276,-3720.66670276,-30901.6085869,-36104.3166,-17088.8480627,-91536.1066551,-18307.221331,-1636.85234363,-1636.85234363,0.0,0.0,-1527.58881379,-4801.29350104,-960.258700207,-2083.81435913,-2083.81435913,-30901.6085869,-36104.3166,-15561.2592489,-86734.8131541,-17346.9626308,0.0364035271334,0.0364035271334,0.111324119844,0.125746385131,0.083134720913,0.393012280155,0.078602456031,0.0108721608878,0.0108721608878,0.0,0.0,0.00311540322333,0.024859724999,0.00497194499979,0.0255313662456,0.0255313662456,0.111324119844,0.125746385131,0.0800193176896,0.368152555156,0.0736305110312,297.120157016,297.120157016,0.0,0.0,519.529129412,1113.76944344,222.753888689,1848.74616104,1848.74616104,3727.15660557,3716.155798,2839.00434036,13979.809066,2795.9618132,0.564134442416,0.564134442416,0.0,0.0,0.13430671544,1.26257560027,0.252515120055,0.435865557584,0.435865557584,1.0,1.0,0.86569328456,3.73742439973,0.747484879945,55.7766062137,55.7766062137,55.7766062137,52.8166843273,52.8166843273,272.963187296,54.5926374591,0.819394396039,0.819394396039,0.819394396039,0.819394396039,0.819394396039,4.0969719802,0.819394396039,10.9835052318,10.9835052318,10.9835052318,12.5422504269,12.5422504269,58.0350165493,11.6070033099,0.131047727861,0.131047727861,0.131047727861,0.131047727861,0.131047727861,0.655238639303,0.131047727861,0.132513800697,0.132513800697,0.132513800697,0.132513800697,0.132513800697,0.662569003485,0.132513800697,17.1390816253,17.1390816253,17.1390816253,14.1082354876,14.1082354876,79.6337158512,15.9267431702,0.779392956408,0.779392956408,0.683232497375,0.673673185061,0.705586956871,3.62127855212,0.724255710425
